wind_regime,n,mae,bias,coverage_pct,below_p10_pct,above_p90_pct,mean_width,mean_actual,absolute_error_sum,p90_absolute_error,rmse,row_share_pct,error_share_pct
<3,1280,0.0907237181083233,0.001587497572843002,84.296875,3.359375,12.34375,0.21149663168046634,0.08787499999999998,116.12635917865383,0.19591314795175702,0.14602938602776785,21.753908905506457,11.565849548836828
3–6,2101,0.18744843586751314,0.014863030348635582,77.10613993336506,11.28034269395526,11.613517372679677,0.5195904078613566,0.2505291131207361,393.8291637576451,0.4193908453198314,0.2448846525544498,35.70700203942896,39.22424579726627
6–9,1833,0.22778169515795946,0.0852947083453233,69.28532460447354,22.531369339879976,8.183306055646481,0.574278149669707,0.5483515184579014,417.5238472245397,0.491046643150592,0.28961278946878705,31.152277362338545,41.58416774800792
9–12,589,0.11969138297496427,0.01573411923525478,69.94906621392191,20.37351443123939,9.67741935483871,0.23428981519703224,0.8661080928126768,70.49822457225396,0.35473645854287056,0.1922401226461709,10.010197144799456,7.0214192938607285
≥12,81,0.07490891454217587,0.039037272931797394,67.90123456790124,24.691358024691358,7.4074074074074066,0.1658275171207375,0.8782427983539094,6.067622077916245,0.10824574090274985,0.16109189292780055,1.3766145479265806,0.6043176120282591
