turbine,lead_day,sector_i,sector,n,median_ratio,q25,q75,mean_power,mean_forecast_wind,mean_measured_wind
t1,1,0,N,28,1.2955390334572492,0.8241642768780927,1.7880128205128205,0.1706547619047619,2.965357142857143,4.244761904761904
t1,1,1,NNE,51,1.2545710267229253,0.7428589619402339,1.9772363383964198,0.14705882352941177,2.9319607843137256,4.068823529411764
t1,1,2,NE,486,1.1777534384145911,0.7662922705314009,1.5541277258566975,0.2938048696844993,4.734032921810699,5.64340877914952
t1,1,3,ENE,2917,1.2373285629099584,0.9281786941580757,1.544617563739377,0.45357781967775107,6.008131642098046,7.3766681522111766
t1,1,4,E,2747,1.2607739665787159,0.9695887251377906,1.5383834398462057,0.5054560126198276,6.198008736803786,7.745596772236379
t1,1,5,ESE,235,1.2884902840059789,0.8221823498139287,1.7405438432583202,0.18765248226950357,3.5935744680851065,4.749475177304964
t1,1,6,SE,72,1.3867636763676368,0.6834107256669397,2.110062893081761,0.12893518518518518,2.8297222222222222,3.874837962962963
t1,1,7,SSE,65,1.1174768518518519,0.4765151515151515,1.6278375149342892,0.12999999999999998,2.9633846153846153,3.633769230769231
t1,1,8,S,100,1.0221009486966934,0.6556852240707838,1.7845627589295712,0.20573333333333335,3.9847,4.655283333333333
t1,1,9,SSW,162,1.1461585340871845,0.7493597083025274,1.7087343778375792,0.17040123456790124,3.6872839506172843,4.488683127572016
t1,1,10,SW,646,1.1642863333265359,0.7482433957806498,1.5556215608397774,0.2485887512899897,4.571996904024767,5.253263673890609
t1,1,11,WSW,3238,0.9782004876719563,0.7144271664008506,1.2294482947111187,0.42070563104797204,7.328248919085855,6.9647765081325925
t1,1,12,W,2150,0.9169231184537308,0.7076947545903631,1.162917097552568,0.4199848062015504,7.658376744186046,6.985918992248062
t1,1,13,WNW,435,0.95687468290208,0.652355767045024,1.2012777987890684,0.23736206896551723,5.331448275862068,5.1200068965517245
t1,1,14,NW,78,1.0672840362560119,0.6323237078886796,1.501065340909091,0.13810897435897435,3.4378205128205126,3.808782051282051
t1,1,15,NNW,25,0.8980716253443527,0.6519023282226007,1.3429179978700745,0.1356,3.4463999999999997,3.8394
t1,2,0,N,33,0.9785156249999999,0.6544715447154472,1.4857288481141693,0.151010101010101,3.324242424242424,3.736969696969697
t1,2,1,NNE,52,1.1378890351770872,0.6451043703475009,2.1803410553410556,0.13557692307692307,2.762307692307692,3.8774038461538463
t1,2,2,NE,454,1.1617683202113027,0.7311606611078023,1.5676192240334097,0.29962518355359763,4.819471365638766,5.686641703377386
t1,2,3,ENE,2917,1.2128851540616248,0.8901808785529717,1.5216706067769896,0.43253736715803903,5.953040795337676,7.146548165923894
t1,2,4,E,2790,1.2397011059200913,0.9460216416135672,1.5279589371980675,0.5032719235364397,6.28915770609319,7.7169391875746705
t1,2,5,ESE,225,1.2152777777777777,0.7545526524148851,1.7697795071335927,0.1852740740740741,3.551066666666667,4.561940740740741
t1,2,6,SE,69,1.0578078078078077,0.5567484662576688,2.08974358974359,0.16089371980676329,3.042173913043478,3.953188405797101
t1,2,7,SSE,52,1.3201213515260266,0.8055918505613627,2.2294927203524044,0.1585897435897436,2.896153846153846,4.189262820512821
t1,2,8,S,58,1.2373521011831907,0.6468904109589042,1.6308159722222224,0.1645977011494253,3.425172413793103,4.247212643678161
t1,2,9,SSW,126,1.0960511557104515,0.6030383063148612,1.7976184482855064,0.18227513227513226,3.8320634920634924,4.557407407407408
t1,2,10,SW,656,1.1659035830842948,0.6977580240333549,1.5721541512357837,0.27460365853658536,4.639161585365853,5.431582825203252
t1,2,11,WSW,3146,0.9619022765682474,0.6986542265996265,1.2447042964738102,0.42193494384403474,7.321856325492689,6.977603517694427
t1,2,12,W,2102,0.9085312363956737,0.662394871034371,1.212265887036895,0.4045440849984142,7.510946717411989,6.809828734538534
t1,2,13,WNW,537,1.041782300339192,0.6847607559308404,1.4493006993006996,0.2550552451893234,5.137746741154562,5.332620111731844
t1,2,14,NW,99,0.8784570596797671,0.5890019557511306,1.3765160642570282,0.13709090909090907,3.666565656565657,3.8453097643097647
t1,2,15,NNW,29,1.0085301837270342,0.7053333333333334,1.61358024691358,0.21477011494252873,3.4148275862068966,4.574367816091954
t2,1,0,N,38,1.3839042530902996,0.9189501015149149,1.9669458285290728,0.20442982456140352,3.0623684210526316,4.812614035087719
t2,1,1,NNE,62,1.36891277258567,0.9267223503180836,1.9800730106732611,0.13763440860215054,2.9020967741935486,4.2186021505376345
t2,1,2,NE,524,1.223528443786219,0.7882352746875247,1.6289437957120885,0.29378053435114504,4.68118320610687,5.765908078880408
t2,1,3,ENE,2994,1.2594591975188991,0.9238358504135203,1.5818600750974015,0.4498697394789579,5.997979291917168,7.4712413716321535
t2,1,4,E,2798,1.2618465485352903,0.9582406479553787,1.5371680642907055,0.4863646652370741,6.150010721944246,7.698451572551823
t2,1,5,ESE,267,1.2722351121423048,0.8105578978950526,1.8017978326596342,0.17955680399500626,3.5551685393258428,4.713264669163546
t2,1,6,SE,85,1.4300873907615481,0.7424714434060229,2.1104725415070242,0.12427843137254901,2.792,3.900164705882353
t2,1,7,SSE,90,1.2333948910531527,0.5424410004893455,1.8371687587168757,0.1443148148148148,2.925777777777778,3.9057407407407405
t2,1,8,S,129,0.9272300469483569,0.5841678588459703,1.7872628726287263,0.18134366925064602,3.8093023255813954,4.361731266149871
t2,1,9,SSW,193,1.0716601815823605,0.709731543624161,1.6217948717948718,0.15744386873920552,3.6687564766839382,4.311312607944733
t2,1,10,SW,710,1.1597730972730973,0.740975623509699,1.5690076902510413,0.2406807511737089,4.547591549295775,5.253158450704225
t2,1,11,WSW,3551,0.9867936117936118,0.7203138889556254,1.2469507660270711,0.4153945836853469,7.260411151788229,6.988613254482305
t2,1,12,W,2415,0.9375,0.7145588804764385,1.1805881782296876,0.4168864734299517,7.612654244306419,7.072441890959282
t2,1,13,WNW,528,0.9431453235304876,0.6737920328986424,1.2419312363538861,0.23713573232323232,5.421553030303031,5.2391341540404035
t2,1,14,NW,106,1.069144123420439,0.7156549449569907,1.442770579940067,0.15056603773584906,3.6139622641509432,4.0097751572327045
t2,1,15,NNW,41,1.0818915801614764,0.799625468164794,1.2974137931034482,0.09989024390243903,3.1465853658536584,3.524512195121951
t2,2,0,N,43,1.0172494172494173,0.7573874296435272,1.6607911759993592,0.1446124031007752,3.1974418604651165,3.8289147286821708
t2,2,1,NNE,61,1.091056910569106,0.6910569105691057,2.0303030303030303,0.12828415300546447,2.7242622950819673,3.8972841530054643
t2,2,2,NE,500,1.214857031770153,0.7524737742129046,1.6339356060606063,0.297604,4.71206,5.7879976666666675
t2,2,3,ENE,3020,1.2318284493284493,0.8960862110665649,1.5578576779674267,0.4286519867549669,5.917903973509934,7.222752041942606
t2,2,4,E,2827,1.2358689910195457,0.9266532858082153,1.528938491995845,0.4834093267303384,6.238616908383445,7.663509609715835
t2,2,5,ESE,258,1.1722086567996297,0.7129471269162582,1.7930128205128204,0.1759282945736434,3.5018217054263565,4.482938630490956
t2,2,6,SE,84,1.2134360463553011,0.6021828264337177,2.099963228534657,0.14242063492063492,2.951428571428571,3.9092460317460316
t2,2,7,SSE,69,1.2178030303030303,0.7855113636363636,1.8507157464212682,0.1305072463768116,2.903623188405797,3.8798792270531397
