wind_difference_abs,n,mae,bias,coverage_pct,below_p10_pct,above_p90_pct,mean_width,mean_actual,absolute_error_sum,p90_absolute_error,rmse,row_share_pct,error_share_pct
<1,1601,0.14613678707853775,0.1286701612002819,82.82323547782636,16.489693941286696,0.6870705808869456,0.4378420331904348,0.235663751821778,233.96499611273893,0.35155842361254136,0.19696130852919272,27.2093813732155,23.30223701038537
1–2,1434,0.1363422818580525,0.08358104140578297,84.86750348675035,13.389121338912133,1.7433751743375174,0.4283277846605303,0.314788470478847,195.5148321844473,0.33508376303123155,0.19274714965324607,24.371176070700205,19.472711877003942
2–4,1929,0.15777871306576846,0.0063993362429469285,77.19025401762572,12.545360290305856,10.26438569206843,0.418325410794439,0.4253202004492828,304.35513750386735,0.3911236549156207,0.2225627621716546,32.78382053025153,30.31289153197132
≥4,920,0.29370679457603827,-0.14800719747874796,43.913043478260875,14.673913043478262,41.41304347826087,0.4829335413984263,0.6261938405797102,270.2102510099552,0.5901895954496114,0.36110786557221,15.635622025832767,26.912159580639365
