hour,n,mae,bias,coverage_pct,below_p10_pct,above_p90_pct,mean_width,mean_actual,absolute_error_sum,p90_absolute_error,rmse,row_share_pct,error_share_pct
0,244,0.1536191575604433,0.02675499443380491,84.42622950819673,11.065573770491802,4.508196721311475,0.4701286553809179,0.3762704918032787,37.48307444474817,0.3495191082791537,0.20809307766748936,4.146838885112168,3.733205817542737
1,244,0.16864675362807363,0.04561736636746107,84.42622950819673,11.475409836065573,4.098360655737705,0.47529634767550794,0.3522677595628415,41.14980788524996,0.37499902744772706,0.21827767276022453,4.146838885112168,4.098401864404837
2,244,0.1657469514088344,0.017727783636820784,77.04918032786885,12.295081967213115,10.655737704918032,0.45824339122210406,0.36184426229508193,40.44225614375559,0.39736170431231455,0.22239160394352728,4.146838885112168,4.027931757118069
3,244,0.1934727991838365,0.016192675577234725,71.31147540983606,15.163934426229508,13.524590163934427,0.4489787025959747,0.3449180327868852,47.207363000856105,0.4496523577382757,0.25587731382927115,4.146838885112168,4.701716836099617
4,244,0.16912568527332536,0.022325750835641752,73.36065573770492,16.39344262295082,10.245901639344263,0.4301480121532607,0.3211338797814208,41.26666720669139,0.40628794393092904,0.22711914423869914,4.146838885112168,4.110040714875394
5,248,0.14693375954003957,0.0057019155652579465,80.24193548387096,12.5,7.258064516129033,0.3991425676523583,0.3083870967741935,36.43957236592981,0.3181955030516579,0.20316754016424393,4.214819850441876,3.629276028191948
6,246,0.13449372885112112,0.040330978356028814,80.08130081300813,13.008130081300814,6.910569105691057,0.38953778156554975,0.27854742547425476,33.0854572973758,0.32492732989399487,0.19662401623502396,4.180829367777022,3.295215867116019
7,236,0.1528890163979614,0.038122920870860215,77.96610169491525,14.40677966101695,7.627118644067797,0.3876205715317202,0.26367231638418076,36.08180786991889,0.4106617874744529,0.21094759479770642,4.010876954452753,3.5936437190069856
8,240,0.18201335272239091,0.024224235905334218,67.5,17.916666666666668,14.583333333333334,0.39477782255897487,0.29764999999999997,43.68320465337382,0.47236867721961656,0.2530321303442604,4.078857919782461,4.350720856189916
9,242,0.1741764344815602,0.04592709827817909,70.24793388429752,19.00826446280992,10.743801652892563,0.4080633688666669,0.3086776859504132,42.15069714453757,0.42740818559499905,0.24378710672983886,4.112848402447315,4.198087540162207
10,246,0.17889632400752772,0.0619576537013623,75.20325203252033,18.29268292682927,6.504065040650407,0.4029236791701194,0.3268021680216802,44.00849570585182,0.43481220396512366,0.2530235876139671,4.180829367777022,4.383118904308821
11,246,0.16210627570316463,0.08327544894213253,70.73170731707317,21.138211382113823,8.130081300813007,0.39574610601201393,0.32920054200542004,39.8781438229785,0.4166088487968963,0.2322111895615901,4.180829367777022,3.9717478013228518
12,246,0.16563864905991119,0.057360963839978435,71.95121951219512,18.69918699186992,9.34959349593496,0.3909209172090188,0.3808130081300813,40.74710766873815,0.4174550800075558,0.23701844720964071,4.180829367777022,4.058294087407417
13,248,0.15631031674355347,0.03868948180266692,73.38709677419355,13.306451612903224,13.306451612903224,0.3948650729025555,0.43307795698924734,38.76495855240126,0.4124560033344721,0.2313691001370616,4.214819850441876,3.8608777675894235
14,246,0.17439265500944226,0.047514572360084065,74.79674796747967,13.821138211382115,11.38211382113821,0.40973643868735304,0.43520325203252036,42.9005931323228,0.4762124354591482,0.2535796813375469,4.180829367777022,4.272775011924384
15,244,0.16587392005861604,0.04857037107880228,77.04918032786885,11.885245901639344,11.065573770491802,0.4249878371798496,0.43998633879781424,40.47323649430231,0.42135927562562697,0.23972650212762855,4.146838885112168,4.0310173104405695
16,244,0.18649372759619273,0.04903054225371627,76.63934426229508,11.475409836065573,11.885245901639344,0.4518336325774509,0.4463524590163934,45.504469533471024,0.45081759148947675,0.2558867345989733,4.146838885112168,4.532113571338921
17,248,0.20543147457992805,0.031401134117910505,71.37096774193549,12.096774193548388,16.532258064516128,0.4599748918293422,0.45721774193548387,50.947005695822156,0.4717492499191488,0.2717556476700573,4.214819850441876,5.074174433860373
18,248,0.17803925141695937,0.010513281966120403,77.82258064516128,9.67741935483871,12.5,0.47303108406853517,0.46711021505376343,44.15373435140592,0.4654021834112684,0.2494303709077192,4.214819850441876,4.3975842533909475
19,244,0.19259095547753766,-0.006208870836550647,75.0,13.114754098360656,11.885245901639344,0.4879027647236022,0.4699726775956284,46.99219313651919,0.46263948088164286,0.2653689208688561,4.146838885112168,4.680286539860537
20,248,0.1817328023428061,0.01671235748540656,71.37096774193549,12.903225806451612,15.725806451612904,0.4830540202649214,0.46283602150537634,45.06973498101591,0.39575827933654245,0.24523337040672527,4.214819850441876,4.488815267121518
21,248,0.1685180015400838,0.03268305207341472,77.82258064516128,10.080645161290322,12.096774193548388,0.4873645092397902,0.4273790322580645,41.79246438194078,0.4239385603813969,0.23142921363890814,4.214819850441876,4.16240859297947
22,248,0.16340702033424037,0.0467419213473524,75.40322580645162,16.129032258064516,8.46774193548387,0.4788726822653441,0.3898521505376344,40.52494104289161,0.3837790180861418,0.22460855126954485,4.214819850441876,4.036166933955886
23,248,0.17458963830205737,0.02311298538327661,74.19354838709677,14.112903225806454,11.693548387096774,0.4616941858988702,0.387741935483871,43.29823029891023,0.4324762852380368,0.24197673157210559,4.214819850441876,4.31237852379115
