issue_date,farm_energy_48h,farm_energy_day1,farm_energy_day2,mean_p50,revision_mae,flags,status,llm_used,api_calls,decision
2026-01-31,15.52,4.03,11.49,0.323,,,ok,True,0,accept
2026-02-01,17.13,11.77,5.35,0.357,0.047,,ok,True,0,accept
2026-02-02,14.08,6.37,7.71,0.293,0.061,,ok,True,0,accept
2026-02-03,30.03,8.94,21.09,0.626,0.07,climatology,ok,True,0,accept
2026-02-04,36.74,21.13,15.61,0.765,0.035,climatology,ok,True,0,accept
2026-02-05,22.3,14.05,8.25,0.465,0.082,,ok,True,0,accept
2026-02-06,22.89,8.14,14.76,0.477,0.128,,ok,True,0,accept
2026-02-07,35.42,15.07,20.35,0.738,0.036,climatology,ok,True,0,accept
2026-02-08,29.31,20.2,9.11,0.611,0.027,climatology,ok,True,0,accept
2026-02-09,23.56,8.7,14.86,0.491,0.119,ramp,warning,True,0,flag
2026-02-10,20.7,14.15,6.55,0.431,0.056,,ok,True,0,accept
2026-02-11,7.41,5.1,2.3,0.154,0.081,calm_window;climatology,ok,True,0,accept
2026-02-12,10.85,3.0,7.84,0.226,0.044,calm_window,ok,True,0,accept
2026-02-13,18.59,5.15,13.43,0.387,0.126,,ok,True,0,accept
2026-02-14,27.62,13.49,14.12,0.575,0.028,,ok,True,0,accept
2026-02-15,25.38,14.32,11.06,0.529,0.139,low_confidence,ok,True,0,accept
2026-02-16,29.04,9.23,19.81,0.605,0.095,climatology,ok,True,0,accept
2026-02-17,29.06,19.56,9.5,0.605,0.041,climatology,ok,True,0,accept
2026-02-18,16.68,9.08,7.59,0.347,0.083,low_confidence,ok,True,0,accept
2026-02-19,20.34,7.99,12.34,0.424,0.122,low_confidence,ok,True,0,accept
2026-02-20,22.62,12.24,10.38,0.471,0.168,ramp;revision,warning,True,0,recalculate
2026-02-21,18.75,9.72,9.03,0.391,0.185,revision,warning,True,0,accept
2026-02-22,20.71,8.41,12.29,0.431,0.047,,ok,True,0,accept
2026-02-23,20.19,11.62,8.57,0.421,0.064,,ok,True,0,accept
2026-02-24,16.88,2.81,14.07,0.352,0.24,revision,warning,True,0,flag
2026-02-25,28.17,14.59,13.58,0.587,0.112,low_confidence;climatology,ok,True,0,accept
2026-02-26,24.71,11.76,12.94,0.515,0.088,low_confidence,ok,True,0,accept
2026-02-27,17.47,13.79,3.67,0.364,0.053,,ok,True,0,accept
