lat,lon,elevation_m,i,j,x_m,y_m
50.44601,73.035264,641.0,0,0,-6000.0,-6000.0
50.44601,73.042325,641.0,1,0,-5500.0,-6000.0
50.44601,73.049387,637.0,2,0,-5000.0,-6000.0
50.44601,73.056448,642.0,3,0,-4500.0,-6000.0
50.44601,73.063509,643.0,4,0,-4000.0,-6000.0
50.44601,73.070571,690.0,5,0,-3500.0,-6000.0
50.44601,73.077632,703.0,6,0,-3000.0,-6000.0
50.44601,73.084693,672.0,7,0,-2500.0,-6000.0
50.44601,73.091755,693.0,8,0,-2000.0,-6000.0
50.44601,73.098816,649.0,9,0,-1500.0,-6000.0
50.44601,73.105877,630.0,10,0,-1000.0,-6000.0
50.44601,73.112939,608.0,11,0,-500.0,-6000.0
50.44601,73.12,602.0,12,0,0.0,-6000.0
50.44601,73.127061,591.0,13,0,500.0,-6000.0
50.44601,73.134123,582.0,14,0,1000.0,-6000.0
50.44601,73.141184,576.0,15,0,1500.0,-6000.0
50.44601,73.148245,567.0,16,0,2000.0,-6000.0
50.44601,73.155307,558.0,17,0,2500.0,-6000.0
50.44601,73.162368,551.0,18,0,3000.0,-6000.0
50.44601,73.169429,545.0,19,0,3500.0,-6000.0
50.44601,73.176491,536.0,20,0,4000.0,-6000.0
50.44601,73.183552,531.0,21,0,4500.0,-6000.0
50.44601,73.190613,530.0,22,0,5000.0,-6000.0
50.44601,73.197675,528.0,23,0,5500.0,-6000.0
50.44601,73.204736,526.0,24,0,6000.0,-6000.0
50.450509,73.035264,636.0,0,1,-6000.0,-5500.0
50.450509,73.042325,638.0,1,1,-5500.0,-5500.0
50.450509,73.049387,647.0,2,1,-5000.0,-5500.0
50.450509,73.056448,654.0,3,1,-4500.0,-5500.0
50.450509,73.063509,658.0,4,1,-4000.0,-5500.0
50.450509,73.070571,671.0,5,1,-3500.0,-5500.0
50.450509,73.077632,713.0,6,1,-3000.0,-5500.0
50.450509,73.084693,724.0,7,1,-2500.0,-5500.0
50.450509,73.091755,653.0,8,1,-2000.0,-5500.0
50.450509,73.098816,650.0,9,1,-1500.0,-5500.0
50.450509,73.105877,624.0,10,1,-1000.0,-5500.0
50.450509,73.112939,616.0,11,1,-500.0,-5500.0
50.450509,73.12,633.0,12,1,0.0,-5500.0
